title,genre,director,country,year
12 месяцев,романтическая | фэнтезийная комедия,Александр Баршак,Россия,2013
12 дней страха,ужасы | триллер | драма,Джек Шолдер,ЮАР,2004
12 лет рабства,историческая | драма,Стив Маккуин,Q30,2013
12,психологический | триллер | юридический | детектив | драма,Никита Михалков,Россия,2007
11.6,Саундтрек,Филипп Годо,Франция,2013
11:14,триллер | детектив | криминал | чёрная комедия,Грег Маркс | [англ.],Q30,2003
11-11-11,фильм ужасов о сверхъестественном,Даррен Линн Боусман,Q30,2011
10 шагов к успеху,комедийная драма,Брэд Силберлинг,США,2006
11 сентября,драма | исторический | киноальманах,Самира Махмальбаф | Клод Лелуш | Юсеф Шахин | Данис Танович | Идрисса Уэдраого | Кен Лоуч | Алехандро Гонсалес Инарриту | Амос Гитай | Мира Наир | Шон Пенн | Сёхэй Имамура,Q38,2002
10 причин моей ненависти,подростковая | романтическая комедия,Джил Джангер,США,1999
10 миль в час,Документальное кино,Хантер Уикс | [англ.],США,2007
10 на 10,психологический триллер,Сьюзи Юинг,,2018
10 лет спустя,романтическая | комедийная драма,Джеми Линден,США,2011
9/11,драма | фильм-катастрофа,Мартин Гиги,США,2017
10 000 лет до нашей эры,приключенческий боевик,Роланд Эммерих,Q258,2008
9 смертей ниндзя,боевик,Эмметт Олстон,США,1985
9 секунд,биография | драма,Олег Штром,Россия,2024
9 песен,драма | мелодрама | музыкальный фильм | эротика,Майкл Уинтерботтом,Великобритания,2004
9 рота,военно | исторический | боевик | драма,Фёдор Бондарчук,Q159,2005
9 месяцев строгого режима,комедия,Альбер Дюпонтель,Франция,2013
9 мёртвых геев,драма | комедия,Лаб Ки Мо,Великобритания,2002
9 мая. Личное отношение,Телеальманах,Авдотья Смирнова | Александр Котт | Владимир Котт | Евгений Лаврентьев | Карен Оганесян | Максим Пежемский | Егор Кончаловский | Василий Чигинский,Россия,2008
9 душ,фильм-драма,Тосиаки Тоёда,Япония,2003
9 апреля,"Военный, драма",Рони Эзра,Дания,2015
8-битное Рождество,комедия,Майкл Даус,США,2021
8 свиданий,Романтическая кинокомедия,"Перис Романо, Родриго Сорогойен",Испания,2008
8 подруг Оушена,кинокомедия | криминальный фильм,Гэри Росс,США,2018
8 первых свиданий,мелодрама | комедия,Дэвид Додсон,Q159,2012
8 миллиметров,триллер | криминал,Джоэл Шумахер,Q30,1999
8 лучших свиданий,комедия | мелодрама,Марюс Вайсберг,Q212,2016
8 ½ $,криминальная комедия,Григорий Константинопольский,Россия,1999
8 женщин,мюзикл | комедия | детектив,Франсуа Озон,,2002
8,драма,Хулио Медем,Испания,2025
7:35 утра,короткометражный | музыкальный,Начо Вигалондо,Испания,2003
07-й меняет курс,боевик | драма,Владимир Потапов,Россия,2007
007: Спектр,шпионский фильм,Сэм Мендес,Q145,2015
7 ящиков,триллер | криминал,Хуан Карлос Манелья | Тана Шембори,Парагвай,2012
007: Координаты «Скайфолл»,шпионский фильм,Сэм Мендес,Q145,2012
7 женщин,драма,Джон Форд,США,1966
7 секунд,боевик,Саймон Феллоуз,,2005
"7 дней, 7 ночей",семейный фильм,Айк Кбеян,Россия,2024
7 дней и ночей с Мэрилин,драма | биография,Саймон Кёртис | [англ.],Великобритания,2011
7 дней в Сирии,документальный фильм,Роберт Риппбергер | [вд],США,2015
7 дней до смерти,драма | фильм ужасов | триллер,Себастьян Ниман,Q183,2000
7 главных желаний,комедия | мелодрама,Вадим Соколовский,Россия,2013
6-й день,фантастика | триллер,Роджер Споттисвуд,США,2000
5-я волна,постапокалиптика | научная фантастика,Дж. Блэйксон,США,2016
6 дней,боевик | триллер,Тоа Фрейзер,Q145,2017
5 терапия,драма | триллер | биография,Алиса Павловская,Украина,2017
5 сантиметров в секунду,,Ёсиюки Окуяма | [вд],Япония,2025
5 причин не влюбиться в казаха,комедия,Аскар Узабаев,Казахстан,2017
5 разбитых камер,документальный фильм,"Эмад Бурнат, Гай Давиди",,2011
5 неизвестных,триллер,Симон Бранд,США,2006
5 недель,трагикомедия,Александр Андреев,Россия,2021
4.3.2.1,электро-хаус | соул | R’n’B | хип-хоп | грайм,Ноэль Кларк,Великобритания,2010
5 дней в августе,военный | боевик,Ренни Харлин,,2011
4:44. Последний день на Земле,драма | фантастика,Абель Феррара,США,2011
4:0 в пользу Танечки,комедия,Радомир Василевский,СССР,1982
"4 месяца, 3 недели и 2 дня",драма,Кристиан Мунджиу,Румыния,2007
4 x 4,"драма, комедия","Рольф Клеменс, Палле Кьерулф-Шмидт, Мауну Куркваара",Q34,1965
4 маленькие девочки,Исторический документальный,Спайк Ли,США,1997
4 листа фанеры,детектив,Иван Гаврилюк | Сайдо Курбанов,Украина,1992
4 американских композитора,документальный | музыкальный,Питер Гринуэй,Великобритания,1983
4 дня в мае,военная | драма | боевик,Ахим фон Боррис,Q183,2011
3: История Дейла Эрнхардта,биографическая | спортивная | драма,Рассел Малкэхи,США,2004
4,драма,Илья Хржановский,Q159,2004
3 ночи в пустыне,драма,Гэбриэль Коуэн | [англ.],США,2014
3 идиота,комедия | семейный фильм,Карлос Боладо | [вд],Мексика,2017
3 идиота,комедия | драма,Раджкумар Хирани,Индия,2009
2pac: Легенда,байопик | драма | боевик,Бенни Бум,США,2017
2:37,драма,Мулари К. Теллури | [вд] | […],Австралия,2006
3 гигантских человека,супергеройский фильм,Tevfik Fikret Uçak | [вд],,1973
2-Асса-2,драма,Сергей Соловьёв,Россия,2008
2:22,триллер,Пол Карри | [англ.],,2017
2 Girls 1 Cup,порнофильм | ЛГБТ-фильм | [вд],Марко Фиорито | [вд],Бразилия,2007
2 секунды,комедия,Манон Брайан,Канада,1998
2 дурня в снегу,комедия,Жан-Луи Гийерму,Франция,1977
1+1: Голливудская история,комедийная драма,Нил Бёргер,США,2017
2 дня в Париже,комедия | драма | мелодрама,Жюли Дельпи,Q142,2007
1+1,комедийная драма | бадди-муви,Оливье Накаш | Эрик Толедано,Франция,2011
01-99,комедия,Амасий Мартиросян,СССР,1959
1 миля до тебя,драма | мелодрама,Лейф Тильден,США,2017
1 %,криминальный,Стив МакКаллум,Австралия,2017
1,документальный,Пол Краудер,США,2013
0-41*,документальный | драма | комедия,Сенна Хегде,Индия,2016
(Почти) пять Докторов: Перезагрузка,комедийный фильм | кинопародия,Питер Дэвисон,Великобритания,2013
(Не)идеальные роботы,романтическая комедия | научно-фантастический фильм | [вд],Энтони Хайнс | Каспер Кристенсен,США,2023
(Не)бывшие,драма | мелодрама,Стефан Бризе,Франция,2023
«SOS» над тайгой,драма | приключения,Аркадий Кольцатый,СССР,1976
«Чудотворец» из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958
«Спартак». Действующие лица и… болельщики,документальный | спорт,Илья Гутман | Иосиф Пастернак,СССР,1985
"«Москвич», любовь моя",драма,Арам Шахбазян,,2015
…которого любили все,документально | биографический фильм,Леонид Осыка,СССР,1982
…И прекрасный миг победы,спортивный фильм,Вячеслав Винник,СССР,1984
…и передайте привет ласточкам,"драма, военный",Яромил Йиреш,Чехословакия,1972
…а пятый всадник — Страх,"драма, военный, арт-хаус",Збынек Брыных,Чехословакия,1965
?,драма,Ханун Брамантйо | [вд],Индонезия,2011
